seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,retrack_conflict_window
0,RCW1500,3600,1200,0.0,1500,-10000.0,40040.89999999996,36901.3,3139.599999999963,0.4805674823153826,120,94,0,0,10877,4.84769868850708,0.0515712626436923,0.8642088811253102,9400.0,False,1500
1,RCW1500,3600,1200,0.0,1500,-10000.0,38925.39999999998,37758.599999999984,1166.799999999993,0.1745429307044399,128,94,0,0,10907,4.948116302490234,0.0526395351328748,0.861831851104795,9400.0,False,1500
2,RCW1500,3600,1200,0.0,1500,-10000.0,50135.29999999999,46362.3,3772.999999999988,0.4596672462157982,125,93,0,0,10924,6.533930778503418,0.0702573201989614,0.8513365067740755,9300.0,False,1500
3,RCW1500,3600,1200,0.0,1500,-10000.0,37392.59999999998,36129.39999999999,1263.1999999999866,0.1974845362003722,118,93,0,0,10872,4.7944419384002686,0.0515531391225835,0.8554083885209713,9300.0,False,1500
4,RCW1500,3600,1200,0.0,1500,-10000.0,39717.19999999998,38718.1,999.0999999999868,0.1457527133787055,106,94,0,0,10900,5.111548662185669,0.0543781772572943,0.8623853211009175,9400.0,False,1500
5,RCW1500,3600,1200,0.0,1500,-10000.0,42404.60000000006,38761.30000000003,3643.3000000000266,0.5309068467889284,113,94,0,0,10899,4.897791862487793,0.0521041687498701,0.8624644462794752,9400.0,False,1500
6,RCW1500,3600,1200,0.0,1500,-10000.0,31000.5,29576.699999999997,1423.8000000000047,0.2520231048327199,102,74,0,0,8321,72.49899339675903,0.9797161269832302,0.8893161879581781,7400.0,True,1500
7,RCW1500,3600,1200,0.0,1500,-10000.0,37393.9,34723.4,2670.499999999999,0.434402249691075,127,94,0,0,10883,4.816737413406372,0.0512418873766635,0.8637324267205734,9400.0,False,1500
8,RCW1500,3600,1200,0.0,1500,-10000.0,37632.99999999999,36332.399999999994,1300.6,0.2021954551267231,116,93,0,0,10879,4.828315019607544,0.0519173658022316,0.8548579832705213,9300.0,False,1500
9,RCW1500,3600,1200,0.0,1500,-10000.0,36929.60000000002,35398.70000000002,1530.9000000000008,0.2442762456943769,110,94,0,0,10867,4.723180532455444,0.0502466014091004,0.8650041409772706,9400.0,False,1500
10,RCW1500,3600,1200,0.0,1500,-10000.0,34141.39999999997,33002.29999999998,1139.0999999999913,0.1949572412418927,125,94,0,0,10858,4.764930009841919,0.0506907447855523,0.8657211272794254,9400.0,False,1500
11,RCW1500,3600,1200,0.0,1500,-10000.0,48161.899999999994,46085.19999999999,2076.7000000000044,0.2545270904353652,124,94,0,0,10927,5.596206426620483,0.0595341109214945,0.8602544156676124,9400.0,False,1500
12,RCW1500,3600,1200,0.0,1500,-10000.0,50511.89999999999,45073.3,5438.599999999994,0.6815370801500055,122,94,0,0,10917,5.284343719482422,0.0562164225476853,0.8610424109187507,9400.0,False,1500
13,RCW1500,3600,1200,0.0,1500,-10000.0,43493.600000000006,37970.399999999994,5523.200000000012,0.8216130413210262,125,94,0,0,10898,5.069937705993652,0.0539355075105707,0.8625435859790788,9400.0,False,1500
14,RCW1500,3600,1200,0.0,1500,-10000.0,38733.99999999996,35899.59999999999,2834.3999999999737,0.4459572784122321,121,94,0,0,10865,4.784342288970947,0.0508972583933079,0.8651633686148182,9400.0,False,1500
15,RCW1500,3600,1200,0.0,1500,-10000.0,38948.900000000016,36936.4,2012.5000000000168,0.3077535355992405,103,94,0,0,10882,4.7892961502075195,0.0509499590447608,0.863811799301599,9400.0,False,1500
16,RCW1500,3600,1200,0.0,1500,-10000.0,39471.20000000002,37921.0,1550.200000000018,0.2309030543834505,100,94,0,0,10877,4.710007429122925,0.050106462011946,0.8642088811253102,9400.0,False,1500
17,RCW1500,3600,1200,0.0,1500,-10000.0,40435.400000000016,39280.400000000016,1154.9999999999973,0.1660840050978639,117,93,0,0,10901,4.81783127784729,0.0518046373962074,0.8531327401155857,9300.0,False,1500
