seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
23,RW3600_CW1800,3600,1800,39805.0,36116.70000000001,3688.299999999992,0.5768194598237196,214,94,0,0,10866,5.351433038711548,0.0569301387096973,0.8650837474691699,9400.0,False
24,RW3600_CW1800,3600,1800,36568.899999999994,34254.59999999999,2314.300000000002,0.381612402999312,237,94,0,0,10856,5.325577974319458,0.0566550848331857,0.8658806190125277,9400.0,False
0,RW5400_CW600,5400,600,35934.599999999984,34702.1,1232.4999999999873,0.2006101477026847,143,94,0,0,10875,4.064342975616455,0.0432376912299622,0.864367816091954,9400.0,False
1,RW5400_CW600,5400,600,39130.09999999995,35427.49999999998,3702.5999999999713,0.5903207060387174,160,94,0,0,10880,3.9675838947296143,0.0422083393056341,0.8639705882352942,9400.0,False
2,RW5400_CW600,5400,600,44470.89999999996,39546.89999999997,4923.9999999999845,0.7032784748357885,151,93,0,0,10884,4.562097072601318,0.0490548072322722,0.8544652701212789,9300.0,False
3,RW5400_CW600,5400,600,37500.19999988536,36378.099999885366,1122.099999999999,0.174226124636398,156,93,0,0,10877,4.1321046352386475,0.0444312326369747,0.8550151696239772,9300.0,False
4,RW5400_CW600,5400,600,43376.59998926985,42050.79998926986,1325.7999999999988,0.1780842366208366,133,94,0,0,10916,4.463328838348389,0.0474822216845573,0.8611212898497619,9400.0,False
5,RW5400_CW600,5400,600,37780.5,36803.8,976.7000000000072,0.1498960720073768,157,94,0,0,10896,4.17045259475708,0.0443665169655008,0.8627019089574155,9400.0,False
6,RW5400_CW600,5400,600,37907.2,34867.50000000001,3039.6999999999935,0.4924154156591228,158,94,0,0,10865,4.131415128707886,0.0439512247734881,0.8651633686148182,9400.0,False
7,RW5400_CW600,5400,600,38414.600000000006,35581.80000000001,2832.7999999999965,0.4496863719500004,187,94,0,0,10867,4.064368486404419,0.0432379626213236,0.8650041409772706,9400.0,False
8,RW5400_CW600,5400,600,37317.39999999999,35462.4,1854.9999999999843,0.2954591992558941,137,93,0,0,10867,4.124945640563965,0.0443542541996125,0.8558019692647465,9300.0,False
9,RW5400_CW600,5400,600,36574.89999999998,35101.79999999998,1473.1000000000015,0.2370415993819925,158,94,0,0,10866,4.0282042026519775,0.0428532361984252,0.8650837474691699,9400.0,False
10,RW5400_CW600,5400,600,36201.500000000015,33539.100000000006,2662.400000000005,0.448377309724216,180,94,0,0,10864,4.229003190994263,0.0449893956488751,0.8652430044182622,9400.0,False
11,RW5400_CW600,5400,600,39420.999999999985,37641.09999999999,1779.899999999996,0.2670883980250598,139,94,0,0,10887,4.580625295639038,0.0487300563365855,0.8634150822081382,9400.0,False
12,RW5400_CW600,5400,600,41877.69999999999,38143.399999999994,3734.299999999997,0.5529826801082112,146,94,0,0,10891,4.143520355224609,0.0440800037789852,0.8630979708015792,9400.0,False
13,RW5400_CW600,5400,600,44596.20000000002,40767.7,3828.5000000000136,0.530437436640143,134,94,0,0,10894,4.220112085342407,0.0448948094185362,0.8628602900679273,9400.0,False
14,RW5400_CW600,5400,600,37677.09999999996,36174.29999999998,1502.7999999999815,0.2346511987002583,130,95,0,0,10885,4.135066270828247,0.0435270133771394,0.8727606798346348,9500.0,False
15,RW5400_CW600,5400,600,39164.80000000001,37158.5,2006.3000000000088,0.3049716192012046,131,93,0,0,10888,4.1407310962677,0.0445239902824483,0.8541513592946363,9300.0,False
16,RW5400_CW600,5400,600,38978.3,36493.899999999994,2484.3999999999996,0.3845235733962343,154,94,0,0,10882,4.248633861541748,0.045198232569593,0.863811799301599,9400.0,False
17,RW5400_CW600,5400,600,39157.70000000004,38218.60000000003,939.1000000000122,0.138790197259112,138,93,0,0,10871,4.003262519836426,0.0430458335466282,0.8554870757060068,9300.0,False
18,RW5400_CW600,5400,600,38943.4,36995.0,1948.4,0.2974793445505703,147,94,0,0,10877,4.048548936843872,0.0430696695408922,0.8642088811253102,9400.0,False
19,RW5400_CW600,5400,600,40666.39999999999,37868.69999999999,2797.699999999997,0.4172943197573033,146,94,0,0,10884,4.157526731491089,0.04422900778182,0.8636530687247336,9400.0,False
20,RW5400_CW600,5400,600,40477.69999999999,38850.59999999999,1627.0999999999972,0.2365583277229425,175,94,0,0,10890,3.9482152462005615,0.0420022898531974,0.8631772268135905,9400.0,False
21,RW5400_CW600,5400,600,40177.3,38945.5,1231.799999999998,0.1786506672257269,135,94,0,0,10883,4.12069296836853,0.043837159237963,0.8637324267205734,9400.0,False
22,RW5400_CW600,5400,600,36133.10000000001,35290.700000000004,842.400000000006,0.1348279129790982,149,94,0,0,10858,4.040179967880249,0.0429806379561728,0.8657211272794254,9400.0,False
23,RW5400_CW600,5400,600,39542.20000000002,36062.10000000002,3480.0999999999995,0.5450827481324869,144,94,0,0,10881,4.035767078399658,0.0429336923234006,0.8638911864718317,9400.0,False
