seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,DISPATCHER_PRIORITY_TTL,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,ttl
17,TTL1800,3600,1200,120,900,1800.0,60,40913.50000000002,38984.400000000016,1929.100000000005,0.2795024462306766,14,45,0,48,10901,2.5303544998168945,0.05623009999593099,0.41280616457205754,4500.0,False,1800
18,TTL1800,3600,1200,120,900,1800.0,60,40815.89999999997,37748.399999999994,3067.49999999998,0.4589947833899866,16,43,0,50,10883,2.426978588104248,0.05644136251405228,0.39511164201047505,4300.0,False,1800
19,TTL1800,3600,1200,120,900,1800.0,60,40914.79999999998,38714.200000000004,2200.59999999998,0.32106469040720254,13,45,0,49,10889,2.724614143371582,0.06054698096381293,0.41326108917255944,4500.0,False,1800
20,TTL1800,3600,1200,120,900,1800.0,60,41479.59999999998,39215.89999999998,2263.699999999995,0.3260456505237315,17,41,0,53,10900,2.5211267471313477,0.06149089627149629,0.3761467889908257,4100.0,False,1800
21,TTL1800,3600,1200,120,900,1800.0,60,39566.499999999935,37960.499999999956,1605.9999999999804,0.23896557598695084,13,44,0,51,10888,2.3089375495910645,0.05247585339979692,0.4041146216017634,4400.0,False,1800
22,TTL1800,3600,1200,120,900,1800.0,60,38309.1,36135.1,2173.999999999999,0.33982240213854337,16,45,0,49,10871,2.55737042427063,0.05683045387268067,0.4139453592125839,4500.0,False,1800
23,TTL1800,3600,1200,120,900,1800.0,60,41569.299999999974,37757.69999999999,3811.5999999999867,0.5701951427882809,18,47,0,47,10898,2.652747392654419,0.056441433886264235,0.4312717929895394,4700.0,False,1800
24,TTL1800,3600,1200,120,900,1800.0,60,36273.99999999997,32937.99999999998,3335.9999999999945,0.5720718045692234,16,43,0,51,10858,2.3577616214752197,0.05483166561570278,0.3960213667342052,4300.0,False,1800
0,TTL2700,3600,1200,120,900,2700.0,60,43872.099999999984,39249.19999999999,4622.899999999993,0.6652814537663138,15,49,0,45,10905,2.7598063945770264,0.0563225794811638,0.4493351673544246,4900.0,False,2700
1,TTL2700,3600,1200,120,900,2700.0,60,40668.800000000105,38195.60000000011,2473.199999999997,0.3657359302302684,14,41,0,54,10900,2.6321051120758057,0.0641976856603855,0.3761467889908257,4100.0,False,2700
2,TTL2700,3600,1200,120,900,2700.0,60,42152.19999999998,38583.999999999985,3568.2000000000007,0.5223524868248072,13,44,0,50,10884,2.5738494396209717,0.0584965781732039,0.40426313855200297,4400.0,False,2700
3,TTL2700,3600,1200,120,900,2700.0,60,40605.89999999998,37802.19999999998,2803.7000000000007,0.4189249175043656,13,44,0,49,10896,2.5443074703216553,0.05782516978003762,0.4038179148311307,4400.0,False,2700
4,TTL2700,3600,1200,120,900,2700.0,60,39733.799999999974,37481.29999999999,2252.4999999999836,0.3394469265450238,13,40,0,54,10900,2.207878828048706,0.05519697070121765,0.3669724770642202,4000.0,False,2700
5,TTL2700,3600,1200,120,900,2700.0,60,39037.3,37081.1,1956.2000000000007,0.29797674541762514,16,49,0,45,10882,2.6765670776367188,0.05462381791095344,0.450284874104025,4900.0,False,2700
